"Molecule.ChEMBL.ID","Smiles","Standard.Value"
"CHEMBL3809529","COc1ccc(/C=C/C(=O)c2ccc(Nc3nc(-c4ccc(OC)c(OC)c4)nc4ccccc34)cc2)cc1OC",0.19
"CHEMBL4204010","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1ccc2c(c1)OCCO2",0.19
"CHEMBL3885456","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(OC)cc3)n2)cc1",0.199
"CHEMBL2011289","COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCc5ccc(C)cc5)cccc4o3)c2c1",0.2
"CHEMBL3883987","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccccc3)n2)cc1",0.2
"CHEMBL91867","CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1",0.2
"CHEMBL3426397","CCOc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(OC)c(OC)c3)n2)cc1",0.201
"CHEMBL4062196","CSc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1",0.206
"CHEMBL3582156","COc1cc(OC)c2c(c1)O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@H](OC(=O)c1ccc(F)c(NC(=O)c3cc(OC)c(OC)c(OC)c3)c1)C2",0.207
"CHEMBL4176826","CCOc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1OCC",0.21
"CHEMBL3353416","COc1ccccc1CCn1c2c(c3c1-c1ccccc1C3=O)C(=O)CCC2",0.21
"CHEMBL3809810","COc1ccc(/C=C/C(=O)c2cccc(Nc3nc(-c4ccc(OC)c(OC)c4)nc4ccccc34)c2)cc1",0.21
"CHEMBL1410991","Oc1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1",0.211
"CHEMBL3885018","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccccc3)n2)cc1OC",0.212
"CHEMBL4065492","FC(F)(F)c1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1",0.216
"CHEMBL3885165","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(Cl)cc3)n2)cc1",0.223
"CHEMBL4172857","CC(=O)Nc1cccc(Nc2nc(-c3cccc(C#N)c3)nc3ccccc23)c1",0.225
"CHEMBL4203060","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3cnc4ccccc4c3)n2)cc1",0.228
"CHEMBL3353414","CC1CC(=O)c2c3c(n(CCc4ccccc4)c2C1)-c1ccccc1C3=O",0.23
